Source Row,Site ID,Name,Pulse,Column,Issue Type,Severity,Value,Suggested Value,Message,Skip Site,Included In Main Output
4,2059,2017 Rush Ranch,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
5,3150,2018 Iron Point,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
5,3150,2018 Iron Point,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
5,3150,2018 Iron Point,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
6,3348,2018 Markham Ravine Main,p1,p1Outcome,outcome_without_dates,REVIEW,Successful,Successful,"p1Outcome is 'Successful', but all exported date fields are blank or ND.",,Yes
6,3348,2018 Markham Ravine Main,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
6,3348,2018 Markham Ravine Main,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
6,3348,2018 Markham Ravine Main,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
7,3366,2018 Markham Ravine westside,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,Dupe,No
7,3366,2018 Markham Ravine westside,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,Dupe,No
7,3366,2018 Markham Ravine westside,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,Dupe,No
8,3281,2018 Red Wing Ranch,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
8,3281,2018 Red Wing Ranch,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
8,3281,2018 Red Wing Ranch,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
9,2719,2018 Rush Ranch,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
9,2719,2018 Rush Ranch,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
9,2719,2018 Rush Ranch,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
10,3682,2018 SJWA-rose-2,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
10,3682,2018 SJWA-rose-2,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
10,3682,2018 SJWA-rose-2,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
11,3417,2018 SJWA-rose-1,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,Dupe,No
11,3417,2018 SJWA-rose-1,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,Dupe,No
11,3417,2018 SJWA-rose-1,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,Dupe,No
12,82621,2018 SJWA WSS,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
12,82621,2018 SJWA WSS,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
12,82621,2018 SJWA WSS,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
13,5642,2019 Colusa NWR 27-1,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
13,5642,2019 Colusa NWR 27-1,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
13,5642,2019 Colusa NWR 27-1,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
16,5643,2019 Colusa NWR 27-2,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
16,5643,2019 Colusa NWR 27-2,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
16,5643,2019 Colusa NWR 27-2,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
17,4455,2019 Creed Road,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
17,4455,2019 Creed Road,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
18,4456,2019 Hay Landfill,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
18,4456,2019 Hay Landfill,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
19,4979,2019 Iron Point,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
23,4639,2019 Leisure Town,p2,p2Outcome,outcome_without_dates,REVIEW,Successful,Successful,"p2Outcome is 'Successful', but all exported date fields are blank or ND.",,Yes
23,4639,2019 Leisure Town,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
23,4639,2019 Leisure Town,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
24,5637,2019 Markham Ravine,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
24,5637,2019 Markham Ravine,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
24,5637,2019 Markham Ravine,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
26,5640,2019 Markham Ravine 2,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
26,5640,2019 Markham Ravine 2,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
26,5640,2019 Markham Ravine 2,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
31,82630,2019 Red Wing Ranch,p1,p1Outcome,invalid_outcome_value,ERROR,n/a,n/a,p1Outcome has an unexpected outcome value.,,No
31,82630,2019 Red Wing Ranch,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
31,82630,2019 Red Wing Ranch,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
31,82630,2019 Red Wing Ranch,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
32,5638,2019 Rush Ranch,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
32,5638,2019 Rush Ranch,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
32,5638,2019 Rush Ranch,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
34,7657,2020 Conaway Ranch,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
34,7657,2020 Conaway Ranch,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
