Name,First Recording,Last Recording
2017 Rush Ranch,3/2/2017,7/24/2017
2018 Iron Point,4/22/2018,5/19/2018
2018 Markham Ravine,6/26/2018,7/23/2018
2018 Markham Ravine - West,6/26/2018,7/13/2018
2018 Yankee Slough Ranch Preserve,5/4/2018,6/4/2018
2018 Rush Ranch,2/9/2018,6/26/2018
2018 SJWA Little Ramona,4/2/2018,5/1/2018
2018 San Jacinto Wildlife Area - Little Ramona,4/2/2018,4/10/2018
2018 San Jacinto Wildlife Area - Bridge St. Pond,4/10/2018,4/27/2018
2019 Colusa NWR T27-1N,5/27/2019,8/12/2019
2019 Colusa NWR T27-2S,5/21/2019,6/18/2019
2019 Denverton Creek,3/17/2019,7/7/2019
2019 Hay Landfill,4/8/2019,7/7/2019
2019 Iron Point,4/24/2019,8/1/2019
2019 Leisure Town Road,3/17/2019,7/7/2019
2019 Markham Ravine,5/10/2019,7/8/2019
2019 Markham Ravine 2,5/10/2019,7/8/2019
2019 Riosa Redwing Ranch,4/24/2019,5/10/2019
2019 Rush Ranch,2/6/2019,7/6/2019
2020 Conaway Ranch,5/18/2020,7/10/2020
2020 Denverton Creek,2/12/2020,7/11/2020
2020 Fort Ord,4/8/2020,7/15/2020
2020 Hay Landfill,2/12/2020,7/10/2020
2020 Iron Point,4/19/2020,8/5/2020
2020 Markham Ravine,4/28/2020,6/24/2020
2020 Santa Lucia Preserve - Ohlone Pond,3/25/2020,7/18/2020
2020 Rush Ranch,2/12/2020,7/10/2020
2021 Colusa NWR T27-1&2,4/21/2021,6/26/2021
2021 Colusa NWR T27-2S,4/21/2021,6/21/2021
2021 Conaway East,5/20/2021,7/5/2021
2021 Conaway South,5/20/2021,7/5/2021
2021 Conaway West,5/12/2021,6/28/2021
2021 Denverton Creek,2/2/2021,5/12/2021
2021 Dagnino Pond,4/29/2021,7/12/2021
2021 Virginia at Ostrom,5/4/2021,6/14/2021
2021 Hale Road 2,5/4/2021,6/14/2021
2021 Hay Landfill,2/2/2021,5/8/2021
2021 Iron Point,2/2/2021,5/14/2021
2021 Kern 1,4/9/2021,8/5/2021
2021 Kern 2,4/6/2021,7/30/2021
2021 Kern 3,4/6/2021,8/5/2021
2021 Kern 4,4/19/2021,8/10/2021
2021 Kern 5,4/27/2021,8/17/2021
2021 Kern 6,5/1/2021,8/21/2021
2021 Kern 7,5/17/2021,9/1/2021
2021 Markham Ravine,4/30/2021,6/23/2021
2021 Orchard Creek,4/19/2021,7/4/2021
2021 Panoche Creek Marsh East 1,4/1/2021,7/14/2021
2021 Panoche Creek Marsh East 2,4/1/2021,7/14/2021
2021 Plumas Arboga,5/14/2021,6/4/2021
2021 Rancho Jamul,3/19/2021,6/5/2021
2021 Erle Road-Reeds Creek North,5/4/2021,5/20/2021
2021 Erle Road-Reeds Creek South,5/4/2021,5/20/2021
2021 Rodeo Grounds,4/19/2021,6/13/2021
2021 Rush Ranch,2/2/2021,5/13/2021
2021 Sedgwick Reserve Pond,3/6/2021,5/6/2021
2021 San Jacinto Wildlife Area - Bridge Street Pond,6/2/2021,6/30/2021
2021 Willey Wetlands 1,6/10/2021,8/17/2021
2021 Willey Wetlands 2,6/10/2021,8/17/2021
2021 Willey Wetlands 3,6/10/2021,8/15/2021
2021 Wind Wolves Preserve,4/14/2021,7/20/2021
2022 Baja Ciénega Redonda North,3/23/2022,7/12/2022
2022 Baja Ciénega Redonda North 2,3/23/2022,7/17/2022
2022 Colusa NWR T27-1&2,4/18/2022,8/4/2022
2022 Colusa NWR T27-2S,4/18/2022,8/4/2022
2022 Conaway Ranch Reservoir,5/9/2022,6/28/2022
2022 Conaway New Easement Pond West,5/11/2022,6/13/2022
2022 Conaway North,5/4/2022,6/28/2022
2022 Conaway North A,5/4/2022,6/28/2022
2022 Denverton Creek,2/13/2022,8/20/2022
2022 Virginia at Ostrom A,4/24/2022,6/6/2022
2022 Virginia at Ostrom B,4/24/2022,6/6/2022
2022 Hay Landfill,2/13/2022,9/9/2022
2022 Laguna Seca,3/20/2022,7/11/2022
2022 Los Vaqueros Playa,4/15/2022,6/8/2022
2022 Marsh Creek Reservoir,4/15/2022,6/8/2022
2022 Newberry Springs - Lake Wainani,5/12/2022,5/20/2022
2022 Santa Lucia Preserve - Ohlone Pond,3/21/2022,8/16/2022
2022 Oregon State - Warm Springs Dizney Lane,4/18/2022,6/9/2022
2022 Oregon State - Prineville Woodward Rd,4/24/2022,6/3/2022
2022 Paicines Ranch - Teal Pond,4/10/2022,8/6/2022
2022 Paicines Ranch - Teal Pond B,4/11/2022,8/3/2022
2022 Panoche Creek Preserve Location 3,3/18/2022,6/23/2022
2022 Panoche Creek Marsh East 1,3/22/2022,4/14/2022
2022 Panoche Creek Marsh East 2,4/14/2022,6/23/2022
2022 Plumas Arboga 6 East,5/4/2022,6/28/2022
2022 Plumas Arboga 6 West,5/11/2022,6/28/2022
2022 Private Site 1 - approximate lat lon,4/19/2022,6/3/2022
2022 Private Site 2 - approximate lat lon,4/19/2022,5/2/2022
2022 Private Site 3 - approximate lat lon,4/19/2022,6/3/2022
2022 Rancho Jamul,3/2/2022,7/2/2022
2022 Sedgwick Reserve Pond,3/20/2022,7/12/2022
2022 San Jacinto Wildlife Area - Bridge Street Pond,5/10/2022,6/27/2022
2022 Washington State - Harder Spring,3/18/2022,7/13/2022
2022 Washington State - McCain Wetands,5/27/2022,8/1/2022
2022 Wind Wolves Preserve - Pleitito Creek,3/11/2022,5/26/2022
2022 Wind Wolves Preserve - Santiago Wetlands,2/23/2022,8/17/2022
2023 Baja Ciénega Redonda North,4/14/2023,8/22/2023
2023 San Jacinto Wildlife Area - Bridge St. Pond,4/18/2023,5/6/2023
2023 Colusa NWR T27-1&2,6/1/2023,8/1/2023
2023 Colusa NWR T27-2S,6/1/2023,8/1/2023
2023 Conaway Ranch Headquarters,5/24/2023,7/5/2023
2023 Conaway Ranch NE,5/26/2023,7/11/2023
2023 Conaway Ranch North 1,6/8/2023,7/13/2023
2023 Conaway Ranch North 2,6/13/2023,7/27/2023
2023 Denverton Creek,3/12/2023,8/7/2023
2023 Delevan NWR T43-1,5/16/2023,7/18/2023
2023 Delevan NWR T43-2,5/16/2023,9/16/2023
2023 Delevan NWR T6,5/30/2023,7/25/2023
2023 Hale Road,4/18/2023,7/8/2023
2023 Hale Road Site 2,4/11/2023,7/8/2023
2023 Iron Point,5/9/2023,8/22/2023
2023 Kentucky Lateral,4/15/2023,5/22/2023
2023 Kern - Canebreak Ecological Reserve 4,5/25/2023,8/11/2023
2023 Kern - Headquarters 2,5/3/2023,8/11/2023
2023 45 Sump,4/25/2023,6/18/2023
